Category,City,Country/Region,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Segment,State,Sub-Category,Discount,Profit,Quantity,Sales
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,11/22/2019,US-2019-118983,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Central,Home Office,Texas,Binders,80.00%,($4),3,$3 
Office Supplies,Madison,United States,PK-19075,Pete Kriz,11/11/2018,CA-2018-105893,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Central,Consumer,Wisconsin,Storage,0.00%,$13 ,6,$666 
Office Supplies,West Jordan,United States,AG-10270,Alejandro Grove,5/13/2018,CA-2018-167164,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,West,Consumer,Utah,Storage,0.00%,$10 ,2,$56 
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,8/27/2018,CA-2018-143336,94109,OFF-AR-10003056,Newell 341,West,Consumer,California,Art,0.00%,$2 ,2,$9 
Technology,San Francisco,United States,ZD-21925,Zuschuss Donatelli,8/27/2018,CA-2018-143336,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,West,Consumer,California,Phones,20.00%,$16 ,3,$213 
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,8/27/2018,CA-2018-143336,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",West,Consumer,California,Binders,20.00%,$7 ,4,$23 
Furniture,Orem,United States,EB-13870,Emily Burns,9/25/2019,CA-2019-106320,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,West,Consumer,Utah,Tables,0.00%,$240 ,3,"$1,045 "
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",East,Consumer,Pennsylvania,Bookcases,50.00%,"($1,665)",7,"$3,083 "
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,East,Consumer,Pennsylvania,Binders,70.00%,($7),2,$10 
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,Consumer,Pennsylvania,Furnishings,20.00%,$16 ,3,$124 
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-EN-10001509,Poly String Tie Envelopes,East,Consumer,Pennsylvania,Envelopes,20.00%,$1 ,2,$3 
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",East,Consumer,Pennsylvania,Art,20.00%,$10 ,6,$86 
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",East,Consumer,Pennsylvania,Binders,70.00%,($6),6,$7 
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-AR-10001683,Lumber Crayons,East,Consumer,Pennsylvania,Art,20.00%,$4 ,2,$16 
Office Supplies,Houston,United States,SN-20710,Steve Nguyen,12/27/2019,CA-2019-117415,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Central,Home Office,Texas,Envelopes,20.00%,$35 ,9,$113 
Furniture,Houston,United States,SN-20710,Steve Nguyen,12/27/2019,CA-2019-117415,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Central,Home Office,Texas,Bookcases,32.00%,($47),3,$532 
Furniture,Houston,United States,SN-20710,Steve Nguyen,12/27/2019,CA-2019-117415,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Central,Home Office,Texas,Chairs,30.00%,($15),3,$212 
Technology,Houston,United States,SN-20710,Steve Nguyen,12/27/2019,CA-2019-117415,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Central,Home Office,Texas,Phones,20.00%,$42 ,4,$371 
Office Supplies,Westland,United States,PO-18865,Patrick O'Donnell,10/20/2018,CA-2018-146703,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,Consumer,Michigan,Storage,0.00%,$8 ,4,$212 
Office Supplies,New Albany,United States,DP-13000,Darren Powers,4/18/2019,CA-2019-115742,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Central,Consumer,Indiana,Binders,0.00%,$18 ,6,$38 
Office Supplies,New Albany,United States,DP-13000,Darren Powers,4/18/2019,CA-2019-115742,47150,OFF-LA-10002762,Avery 485,Central,Consumer,Indiana,Labels,0.00%,$35 ,6,$75 
Furniture,New Albany,United States,DP-13000,Darren Powers,4/18/2019,CA-2019-115742,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,Central,Consumer,Indiana,Furnishings,0.00%,$3 ,2,$6 
Furniture,New Albany,United States,DP-13000,Darren Powers,4/18/2019,CA-2019-115742,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",Central,Consumer,Indiana,Chairs,0.00%,$17 ,1,$90 
Technology,Los Angeles,United States,KM-16720,Kunst Miller,11/24/2019,CA-2019-135545,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,Consumer,California,Accessories,0.00%,$6 ,2,$14 
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,11/24/2019,CA-2019-135545,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",West,Consumer,California,Binders,20.00%,$9 ,6,$26 
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,11/24/2019,CA-2019-135545,90004,OFF-PA-10003892,Xerox 1943,West,Consumer,California,Paper,0.00%,$69 ,3,$147 
Furniture,Los Angeles,United States,KM-16720,Kunst Miller,11/24/2019,CA-2019-135545,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,West,Consumer,California,Furnishings,0.00%,$22 ,4,$80 
Furniture,Chicago,United States,PS-18970,Paul Stevenson,4/30/2019,US-2019-164175,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Central,Home Office,Illinois,Chairs,30.00%,($15),5,$213 
Office Supplies,Gilbert,United States,BS-11590,Brendan Sweed,12/5/2018,CA-2018-106376,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",West,Corporate,Arizona,Art,20.00%,$111 ,8,"$1,113 "
Technology,Gilbert,United States,BS-11590,Brendan Sweed,12/5/2018,CA-2018-106376,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,West,Corporate,Arizona,Phones,20.00%,$63 ,4,$168 
Furniture,Memphis,United States,JE-15745,Joel Eaton,4/26/2019,US-2019-134026,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,South,Consumer,Tennessee,Chairs,20.00%,($114),8,$832 
Furniture,Memphis,United States,JE-15745,Joel Eaton,4/26/2019,US-2019-134026,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",South,Consumer,Tennessee,Furnishings,20.00%,$1 ,2,$97 
Office Supplies,Memphis,United States,JE-15745,Joel Eaton,4/26/2019,US-2019-134026,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,South,Consumer,Tennessee,Storage,20.00%,($18),1,$73 
Furniture,Houston,United States,JE-15745,Joel Eaton,11/26/2018,US-2018-147606,77070,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Central,Consumer,Texas,Furnishings,60.00%,($14),5,$19 
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,10/12/2018,CA-2018-139451,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,Consumer,California,Art,0.00%,$4 ,5,$15 
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,10/12/2018,CA-2018-139451,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",West,Consumer,California,Storage,0.00%,$6 ,1,$21 
Office Supplies,Durham,United States,JC-16105,Julie Creighton,9/3/2019,CA-2019-149734,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,South,Corporate,North Carolina,Envelopes,20.00%,$63 ,7,$201 
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,1/31/2019,CA-2019-149587,55407,OFF-PA-10003177,Xerox 1999,Central,Consumer,Minnesota,Paper,0.00%,$6 ,2,$13 
Furniture,Minneapolis,United States,KB-16315,Karl Braun,1/31/2019,CA-2019-149587,55407,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Central,Consumer,Minnesota,Furnishings,0.00%,$17 ,3,$53 
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,1/31/2019,CA-2019-149587,55407,OFF-BI-10002852,Ibico Standard Transparent Covers,Central,Consumer,Minnesota,Binders,0.00%,$16 ,2,$33 
Technology,Aurora,United States,LC-16870,Lena Cacioppo,11/13/2019,US-2019-156867,80013,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,West,Consumer,Colorado,Accessories,20.00%,($27),6,$239 
Furniture,Aurora,United States,LC-16870,Lena Cacioppo,11/13/2019,US-2019-156867,80013,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",West,Consumer,Colorado,Furnishings,20.00%,($4),3,$102 
Office Supplies,Aurora,United States,LC-16870,Lena Cacioppo,11/13/2019,US-2019-156867,80013,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",West,Consumer,Colorado,Binders,70.00%,($26),3,$37 
Technology,Orland Park,United States,PA-19060,Pete Armstrong,10/15/2019,CA-2019-129476,60462,TEC-AC-10000844,Logitech Gaming G510s - Keyboard,Central,Home Office,Illinois,Accessories,20.00%,$68 ,5,$340 
Office Supplies,Columbus,United States,RC-19960,Ryan Crowe,8/25/2018,CA-2018-115259,43229,OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",East,Consumer,Ohio,Fasteners,20.00%,$15 ,14,$40 
Office Supplies,Columbus,United States,RC-19960,Ryan Crowe,8/25/2018,CA-2018-115259,43229,OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",East,Consumer,Ohio,Envelopes,20.00%,$2 ,2,$5 
Office Supplies,Columbus,United States,RC-19960,Ryan Crowe,8/25/2018,CA-2018-115259,43229,OFF-PA-10004965,Xerox 1921,East,Consumer,Ohio,Paper,20.00%,$7 ,3,$24 
Office Supplies,Columbus,United States,RC-19960,Ryan Crowe,8/25/2018,CA-2018-115259,43229,OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",East,Consumer,Ohio,Envelopes,20.00%,$44 ,6,$130 
Furniture,Seattle,United States,DK-13090,Dave Kipp,3/2/2019,CA-2019-110457,98103,FUR-TA-10001768,Hon Racetrack Conference Tables,West,Consumer,Washington,Tables,0.00%,$165 ,3,$788 
Office Supplies,Bristol,United States,GG-14650,Greg Guthrie,4/5/2019,US-2019-136476,37620,OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,South,Corporate,Tennessee,Binders,70.00%,($116),1,$158 
Furniture,Houston,United States,AD-10180,Alan Dominguez,12/26/2018,US-2018-152030,77041,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Central,Home Office,Texas,Chairs,30.00%,($9),3,$601 
Furniture,Bloomington,United States,PF-19165,Philip Fox,9/20/2018,US-2018-134614,61701,FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Central,Consumer,Illinois,Tables,50.00%,($408),6,$618 
Office Supplies,Pasadena,United States,HA-14920,Helen Andreada,9/7/2019,CA-2019-110744,91104,OFF-ST-10003656,Safco Industrial Wire Shelving,West,Consumer,California,Storage,0.00%,$20 ,7,$672 
Furniture,Newark,United States,MG-17680,Maureen Gastineau,10/22/2018,CA-2018-110072,43055,FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",East,Home Office,Ohio,Furnishings,20.00%,$13 ,4,$94 
Office Supplies,San Jose,United States,SP-20650,Stephanie Phelps,5/31/2019,CA-2019-124919,95123,OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,West,Corporate,California,Paper,0.00%,$26 ,7,$58 
Office Supplies,San Jose,United States,SP-20650,Stephanie Phelps,5/31/2019,CA-2019-124919,95123,OFF-PA-10002254,Xerox 1883,West,Corporate,California,Paper,0.00%,$49 ,4,$106 
Office Supplies,San Jose,United States,SP-20650,Stephanie Phelps,5/31/2019,CA-2019-124919,95123,OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",West,Corporate,California,Storage,0.00%,$21 ,6,$81 
Office Supplies,Seattle,United States,NK-18490,Neil Knudson,5/28/2019,CA-2019-118948,98105,OFF-AR-10001547,Newell 311,West,Home Office,Washington,Art,0.00%,$2 ,3,$7 
Furniture,Seattle,United States,DB-13060,Dave Brooks,3/1/2018,CA-2018-104269,98115,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,West,Consumer,Washington,Chairs,20.00%,$51 ,2,$458 
Technology,Philadelphia,United States,EM-13960,Eric Murdock,12/28/2019,CA-2019-119697,19134,TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad,East,Consumer,Pennsylvania,Accessories,20.00%,$1 ,2,$54 
Office Supplies,San Antonio,United States,BM-11140,Becky Martin,9/8/2018,CA-2018-139892,78207,OFF-AR-10004441,BIC Brite Liner Highlighters,Central,Consumer,Texas,Art,20.00%,$3 ,3,$10 
Technology,San Antonio,United States,BM-11140,Becky Martin,9/8/2018,CA-2018-139892,78207,TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Central,Consumer,Texas,Machines,40.00%,"($1,360)",8,"$8,160 "
Office Supplies,San Antonio,United States,BM-11140,Becky Martin,9/8/2018,CA-2018-139892,78207,OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,Central,Consumer,Texas,Storage,20.00%,($59),3,$276 
Furniture,San Antonio,United States,BM-11140,Becky Martin,9/8/2018,CA-2018-139892,78207,FUR-CH-10004287,SAFCO Arco Folding Chair,Central,Consumer,Texas,Chairs,30.00%,($25),9,"$1,740 "
Office Supplies,San Antonio,United States,BM-11140,Becky Martin,9/8/2018,CA-2018-139892,78207,OFF-AR-10002656,Sanford Liquid Accent Highlighters,Central,Consumer,Texas,Art,20.00%,$7 ,6,$32 
Office Supplies,San Antonio,United States,BM-11140,Becky Martin,9/8/2018,CA-2018-139892,78207,OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,Central,Consumer,Texas,Appliances,80.00%,($454),5,$178 
Technology,San Antonio,United States,BM-11140,Becky Martin,9/8/2018,CA-2018-139892,78207,TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,Central,Consumer,Texas,Phones,20.00%,$9 ,3,$144 
Office Supplies,Los Angeles,United States,CS-12130,Chad Sievert,8/5/2018,CA-2018-118962,90004,OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",West,Consumer,California,Paper,0.00%,$10 ,3,$21 
Office Supplies,Los Angeles,United States,CS-12130,Chad Sievert,8/5/2018,CA-2018-118962,90004,OFF-PA-10001144,Xerox 1913,West,Consumer,California,Paper,0.00%,$53 ,2,$111 
Furniture,Los Angeles,United States,CS-12130,Chad Sievert,8/5/2018,CA-2018-118962,90004,FUR-CH-10003817,"Global Value Steno Chair, Gray",West,Consumer,California,Chairs,20.00%,$21 ,7,$340 
Office Supplies,Chicago,United States,JB-15400,Jennifer Braxton,9/14/2018,US-2018-100853,60623,OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Central,Corporate,Illinois,Appliances,80.00%,($131),2,$52 
Office Supplies,Chicago,United States,JB-15400,Jennifer Braxton,9/14/2018,US-2018-100853,60623,OFF-LA-10003148,Avery 51,Central,Corporate,Illinois,Labels,20.00%,$7 ,4,$20 
Furniture,Newark,United States,JE-15745,Joel Eaton,11/21/2019,US-2019-101511,43055,FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",East,Consumer,Ohio,Chairs,30.00%,($11),7,$397 
Office Supplies,Newark,United States,JE-15745,Joel Eaton,11/21/2019,US-2019-101511,43055,OFF-SU-10002189,Acme Rosewood Handle Letter Opener,East,Consumer,Ohio,Supplies,20.00%,($4),5,$16 
Office Supplies,New York City,United States,JK-15640,Jim Kriz,12/15/2019,CA-2019-137225,10009,OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",East,Home Office,New York,Art,0.00%,$1 ,1,$3 
Office Supplies,Decatur,United States,DK-13150,David Kendrick,12/5/2018,CA-2018-166191,62521,OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",Central,Corporate,Illinois,Storage,20.00%,$2 ,2,$25 
Technology,Decatur,United States,DK-13150,David Kendrick,12/5/2018,CA-2018-166191,62521,TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Central,Corporate,Illinois,Accessories,20.00%,$77 ,7,$409 
Technology,Monroe,United States,RM-19675,Robert Marley,11/19/2018,CA-2018-158274,71203,TEC-PH-10003273,AT&T TR1909W,South,Home Office,Louisiana,Phones,0.00%,$131 ,4,$504 
Technology,Monroe,United States,RM-19675,Robert Marley,11/19/2018,CA-2018-158274,71203,TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),South,Home Office,Louisiana,Phones,0.00%,$42 ,5,$150 
Technology,Monroe,United States,RM-19675,Robert Marley,11/19/2018,CA-2018-158274,71203,TEC-AC-10002345,HP Standard 104 key PS/2 Keyboard,South,Home Office,Louisiana,Accessories,0.00%,$7 ,2,$29 
Technology,Los Angeles,United States,FM-14290,Frank Merwin,8/26/2018,CA-2018-123260,90032,TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,West,Home Office,California,Accessories,0.00%,$23 ,8,$177 
Furniture,New York City,United States,MP-17470,Mark Packer,10/12/2019,CA-2019-102281,10035,FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",East,Home Office,New York,Bookcases,20.00%,$112 ,4,$899 
Technology,New York City,United States,MP-17470,Mark Packer,10/12/2019,CA-2019-102281,10035,TEC-PH-10001552,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,East,Home Office,New York,Phones,0.00%,$20 ,6,$72 
Office Supplies,New York City,United States,MP-17470,Mark Packer,10/12/2019,CA-2019-102281,10035,OFF-PA-10000061,Xerox 205,East,Home Office,New York,Paper,0.00%,$25 ,8,$52 
Furniture,New York City,United States,MP-17470,Mark Packer,10/12/2019,CA-2019-102281,10035,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",East,Home Office,New York,Bookcases,20.00%,$47 ,3,$626 
Office Supplies,New York City,United States,MP-17470,Mark Packer,10/12/2019,CA-2019-102281,10035,OFF-AR-10003514,4009 Highlighters by Sanford,East,Home Office,New York,Art,0.00%,$7 ,5,$20 
Office Supplies,Redlands,United States,MZ-17515,Mary Zewe,10/31/2019,CA-2019-131457,92374,OFF-EN-10001509,Poly String Tie Envelopes,West,Corporate,California,Envelopes,0.00%,$7 ,7,$14 
Office Supplies,Hamilton,United States,CB-12025,Cassandra Brandow,3/21/2018,CA-2018-140004,45011,OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",East,Consumer,Ohio,Art,20.00%,$1 ,2,$7 
Office Supplies,Hamilton,United States,CB-12025,Cassandra Brandow,3/21/2018,CA-2018-140004,45011,OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",East,Consumer,Ohio,Art,20.00%,$2 ,3,$6 
Furniture,Denver,United States,BS-11755,Bruce Stewart,8/3/2018,CA-2018-133690,80219,FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,West,Consumer,Colorado,Tables,50.00%,($162),2,$219 
Office Supplies,Denver,United States,BS-11755,Bruce Stewart,8/3/2018,CA-2018-133690,80219,OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",West,Consumer,Colorado,Appliances,20.00%,$0 ,1,$3 
Technology,Dallas,United States,MS-17980,Michael Stewart,2/9/2019,CA-2019-101007,75220,TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,Central,Corporate,Texas,Accessories,20.00%,$7 ,2,$21 
Office Supplies,Medina,United States,VW-21775,Victoria Wilson,1/2/2019,CA-2019-146262,44256,OFF-LA-10004544,Avery 505,East,Corporate,Ohio,Labels,20.00%,$9 ,2,$24 
Furniture,Medina,United States,VW-21775,Victoria Wilson,1/2/2019,CA-2019-146262,44256,FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,East,Corporate,Ohio,Bookcases,50.00%,($244),5,$452 
Technology,Medina,United States,VW-21775,Victoria Wilson,1/2/2019,CA-2019-146262,44256,TEC-PH-10002844,Speck Products Candyshell Flip Case,East,Corporate,Ohio,Phones,40.00%,($15),3,$63 
Technology,Medina,United States,VW-21775,Victoria Wilson,1/2/2019,CA-2019-146262,44256,TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,East,Corporate,Ohio,Machines,70.00%,($950),9,"$1,188 "
Technology,Medina,United States,VW-21775,Victoria Wilson,1/2/2019,CA-2019-146262,44256,TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,East,Corporate,Ohio,Accessories,20.00%,$4 ,2,$90 
Office Supplies,Dublin,United States,JB-15925,Joni Blumstein,12/24/2019,CA-2019-169397,43017,OFF-FA-10000585,OIC Bulk Pack Metal Binder Clips,East,Consumer,Ohio,Fasteners,20.00%,$2 ,2,$6 
Office Supplies,Dublin,United States,JB-15925,Joni Blumstein,12/24/2019,CA-2019-169397,43017,OFF-PA-10004000,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",East,Consumer,Ohio,Paper,20.00%,$8 ,6,$23 
Office Supplies,Dublin,United States,JB-15925,Joni Blumstein,12/24/2019,CA-2019-169397,43017,OFF-BI-10002852,Ibico Standard Transparent Covers,East,Consumer,Ohio,Binders,70.00%,($14),4,$20 
Furniture,Dublin,United States,JB-15925,Joni Blumstein,12/24/2019,CA-2019-169397,43017,FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",East,Consumer,Ohio,Furnishings,20.00%,$19 ,4,$73 
Technology,Dublin,United States,JB-15925,Joni Blumstein,12/24/2019,CA-2019-169397,43017,TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder,East,Consumer,Ohio,Machines,70.00%,($384),4,$480 
Office Supplies,Dublin,United States,JB-15925,Joni Blumstein,12/24/2019,CA-2019-169397,43017,OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,East,Consumer,Ohio,Art,20.00%,$3 ,2,$27 
Office Supplies,Detroit,United States,DS-13180,David Smith,8/9/2019,CA-2019-163055,48227,OFF-AR-10001026,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Central,Corporate,Michigan,Art,0.00%,$1 ,1,$2 
Furniture,Detroit,United States,DS-13180,David Smith,8/9/2019,CA-2019-163055,48227,FUR-TA-10003748,Bevis 36 x 72 Conference Tables,Central,Corporate,Michigan,Tables,0.00%,$137 ,5,$622 
Office Supplies,Detroit,United States,DS-13180,David Smith,8/9/2019,CA-2019-163055,48227,OFF-ST-10002485,Rogers Deluxe File Chest,Central,Corporate,Michigan,Storage,0.00%,$0 ,1,$22 
Furniture,Columbia,United States,VD-21670,Valerie Dominguez,2/28/2019,US-2019-145436,38401,FUR-CH-10004860,Global Low Back Tilter Chair,South,Consumer,Tennessee,Chairs,20.00%,($28),2,$162 
Furniture,Columbia,United States,VD-21670,Valerie Dominguez,2/28/2019,US-2019-145436,38401,FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",South,Consumer,Tennessee,Chairs,20.00%,$44 ,8,$390 
Office Supplies,Charlotte,United States,EA-14035,Erin Ashbrook,9/13/2018,US-2018-156216,28205,OFF-BI-10001679,GBC Instant Index System for Binding Systems,South,Corporate,North Carolina,Binders,70.00%,($12),7,$19 
Furniture,Lakeville,United States,DW-13480,Dianna Wilson,6/1/2018,CA-2018-131926,55044,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Central,Home Office,Minnesota,Chairs,0.00%,$581 ,7,"$2,002 "
